motorID,angle,time
15,1733,0
25,2018,0
13,2151,0
23,2163,0.5
31,2045,0.5
43,1754,0
53,2045,0.5
44,1224,0
54,2192,0.5
41,3088,0
51,1008,0.5
42,3171,0
52,1034,0.5
31,2085,0
51,2048,0
53,1038,0
54,2060,2
31,2100,0
35,2069,0
41,2018,0
43,2839,0
44,1063,2
53,3018,2
43,901,2
42,3120,0
51,1847,0
53,1084,0
54,3116,2
41,1929,0
42,3222,0
43,2880,0
44,2066,2
52,2150,0
54,2060,0.7
51,2318,0
52,1187,0
53,1950,0
54,3580,2
42,3180,0
43,1928,0.7
41,1873,0
44,2570,2
51,1246,0
52,1030,0.7
53,970,0
54,2675,2
41,2777,0
42,3252,0
44,1724,0.7
43,2738,2
31,2045,0
51,1133,0
52,1287,0
54,2595,0.7
51,1008,0
52,1522,0
53,1014,0
54,3217,2
41,3117,0
42,2672,0
43,2773,0
44,2262,2