step,motorID,angle
0,11,2031
0,12,2260
0,13,2371
0,14,2047
0,15,2358
0,21,2010
0,22,2043
0,23,1856
0,24,2046
0,25,1505
0,31,1896
0,32,2058
0,33,2049
0,34,2224
0,35,2057
0,36,521
0,37,475
0,41,1167
0,42,3227
0,43,1798
0,44,1021
0,51,2902
0,52,1056
0,53,2046
0,54,2032
1,11,2150
1,12,2268
1,13,2388
1,21,2110
1,22,2112
1,23,1812
1,31,2108
1,32,1964
1,33,1973
1,34,2174
1,35,2112
1,41,1554
1,42,3229
1,43,1903
1,44,1234
1,51,2371
1,52,3229
1,53,1903
1,54,1234
2,41,1245
2,42,3221
2,43,1935
2,44,1204
2,51,2298
2,52,1071
2,53,1918
2,54,2550
3,33,1759
3,51,1326
4,52,1059
4,53,1980
4,54,3531
5,13,2081
5,14,1717
5,15,1661
5,23,2099
5,24,1736
5,25,2254
5,33,1756
6,33,2032
6,41,2645
6,42,3257
6,43,1907
6,44,2280
6,51,1140
7,14,1622
7,24,1646
7,51,1295
7,52,1104
7,53,1959
7,54,3418
8,12,2167
8,13,1106
8,14,935
8,22,2225
8,23,3097
8,24,955
8,41,2337
8,51,1603